GEO_ID,STATENAME,DISTRICT,NAME,P001001,P001001ERR,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001011,P001012,P001013,P001014,P001015,P001016,P001017,P001018,P001019,P001020,P001021,P001022,P001023,P001024,P001025,P001026,P001027,P001028,P001029,P001030,P001031,P001032,P001033,P001034,P001035,P001036,P001037,P001038,P001039,P001040,P001041,P001042,P001043,P001044,P001045,P001046,P001047,P001048,P001049,P001050,P001051,P001052,P001053,P001054,P001055,P001056,P001057,P001058,P001059,P001060,P001061,P001062,P001063,P001064,P001065,P001066,P001067,P001068,P001069,P001070,P001071
5001100US3617,New York,17,"Congressional District 17 (111th Congress), New York",678558,null,654741,318511,222199,4310,32826,350,76545,23817,21785,4885,654,1980,96,5652,1404,985,483,2975,325,22,536,113,1199,476,1881,850,197,19,285,22,11,51,18,59,41,35,15,58,17,81,53,0,27,34,8,126,47,2,42,8,6,2,0,3,0,1,4,5,5,1,0,22,11,7,0,4,0,0,3,3
5001100US3618,New York,18,"Congressional District 18 (111th Congress), New York",674825,null,653940,480876,69368,2708,43990,267,56731,20885,19444,3596,976,3960,122,6316,573,451,135,1233,184,14,558,112,910,304,1336,628,168,9,136,23,0,108,20,65,47,19,6,14,8,28,22,4,9,19,3,98,55,1,30,1,4,0,1,0,0,0,2,1,0,3,0,7,4,1,1,0,0,1,0,0
5001100US3619,New York,19,"Congressional District 19 (111th Congress), New York",699959,null,682156,583890,45568,1846,22996,207,27649,17803,16389,4776,1885,3351,154,3548,647,350,75,673,86,11,173,69,496,95,1304,728,147,7,136,47,2,41,42,65,10,14,3,19,4,9,14,1,9,2,4,89,46,2,32,2,4,1,1,0,0,0,0,0,0,1,0,21,20,1,0,0,0,0,0,0
5001100US3620,New York,20,"Congressional District 20 (111th Congress), New York",683198,null,672358,638691,17254,1467,9130,184,5632,10840,10110,3650,2623,1990,135,908,198,108,26,164,50,2,51,38,141,26,660,355,76,19,42,35,9,26,42,24,4,10,0,3,1,8,0,4,0,0,2,62,24,4,13,5,2,0,11,0,1,2,0,0,0,0,0,7,5,1,0,0,1,0,1,1
5001100US3621,New York,21,"Congressional District 21 (111th Congress), New York",679193,null,660559,555143,65489,1788,23525,256,14358,18634,17218,7669,2153,2853,112,1328,734,287,114,739,121,11,151,104,671,171,1313,667,118,21,177,49,6,19,41,25,12,11,6,14,16,25,24,0,55,16,11,98,37,2,14,8,24,1,4,1,0,2,1,0,0,4,0,3,1,1,0,1,0,0,2,2
5001100US3622,New York,22,"Congressional District 22 (111th Congress), New York",679297,null,657979,539217,64668,2786,21878,248,29182,21318,19624,8024,2631,2774,166,2884,888,350,105,954,108,15,159,90,371,105,1544,876,173,12,148,41,9,54,46,47,8,45,5,24,14,20,10,2,6,4,0,129,69,7,23,4,12,1,1,0,0,2,3,5,2,0,0,16,12,2,0,1,0,1,5,5
5001100US3623,New York,23,"Congressional District 23 (111th Congress), New York",664245,null,654103,619111,17650,7085,5426,432,4399,10142,9509,2959,3339,1466,156,839,186,103,41,144,50,16,33,75,68,34,572,278,65,4,40,40,23,26,50,11,8,4,1,4,3,0,3,1,6,1,4,48,25,7,0,1,0,1,5,0,0,1,8,0,0,0,0,13,7,2,0,0,4,0,0,0
5001100US3624,New York,24,"Congressional District 24 (111th Congress), New York",657222,null,644897,600174,25403,1758,10797,167,6598,12325,11568,5124,2642,1589,145,1020,275,99,32,282,49,5,69,55,145,37,708,383,64,19,78,39,7,24,34,23,15,2,3,9,2,2,0,2,2,0,0,37,9,0,13,1,2,1,9,0,0,0,2,0,0,0,0,10,9,0,1,0,0,0,2,2
5001100US3625,New York,25,"Congressional District 25 (111th Congress), New York",668869,null,652395,566094,57104,4300,17255,200,7442,16474,15346,6858,3013,2235,145,1097,685,250,83,558,40,11,75,55,199,42,1053,600,120,23,112,31,2,24,50,15,2,20,3,14,12,12,5,4,0,2,2,61,19,5,18,2,1,2,6,0,0,0,5,1,0,2,0,14,14,0,0,0,0,0,0,0
5001100US3626,New York,26,"Congressional District 26 (111th Congress), New York",674804,null,664070,613582,27027,2558,15551,142,5210,10734,10056,3949,1968,2088,119,882,294,110,31,233,55,3,42,44,211,27,620,329,56,5,49,51,1,16,49,22,6,9,0,14,2,5,0,1,0,1,4,45,19,8,6,0,5,0,1,2,1,2,1,0,0,0,0,11,7,4,0,0,0,0,2,2
5001100US3627,New York,27,"Congressional District 27 (111th Congress), New York",629271,null,617265,553200,36631,5266,8639,180,13349,12006,11211,4816,2143,1478,101,1299,367,100,43,508,45,3,68,45,145,50,752,458,40,7,102,29,0,19,28,18,9,3,0,12,6,10,5,1,0,1,4,35,16,3,8,4,0,1,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,5,5
5001100US3628,New York,28,"Congressional District 28 (111th Congress), New York",611838,null,594002,374813,184790,3869,13180,200,17150,17836,16298,7413,2022,1605,97,1435,1373,432,149,1264,78,16,82,57,155,120,1429,890,115,16,152,39,8,27,29,26,6,33,9,34,10,3,14,4,5,3,6,92,36,2,38,4,4,4,1,1,1,0,0,0,0,1,0,17,17,0,0,0,0,0,0,0
5001100US3629,New York,29,"Congressional District 29 (111th Congress), New York",663727,null,652232,605977,22091,3732,16579,121,3732,11495,10748,4246,2485,2227,114,760,225,129,14,143,51,7,50,49,227,21,695,411,69,3,69,45,1,25,33,22,6,0,2,1,3,2,1,0,1,1,0,41,13,8,7,4,3,0,4,0,0,0,0,0,0,2,0,11,9,2,0,0,0,0,0,0
5001100US3701,North Carolina,1,"Congressional District 1 (111th Congress), North Carolina",635936,null,625673,280991,315742,5365,4599,288,18688,10263,9421,3479,1280,983,84,1067,1249,347,96,479,40,20,66,60,97,74,769,454,80,12,61,18,2,17,51,16,3,11,3,9,15,6,7,2,1,0,1,57,21,7,12,8,0,0,1,0,0,0,2,0,0,5,1,16,14,1,0,0,1,0,0,0
5001100US3702,North Carolina,2,"Congressional District 2 (111th Congress), North Carolina",741576,null,721957,446631,210845,5834,8408,766,49473,19619,17793,5739,2566,2269,258,3019,1466,569,184,921,71,25,262,117,200,127,1621,870,185,24,135,80,5,51,83,39,9,38,19,32,17,17,8,1,0,2,6,157,60,14,15,15,14,0,15,5,3,2,10,2,0,1,1,36,33,2,0,1,0,0,12,12
5001100US3703,North Carolina,3,"Congressional District 3 (111th Congress), North Carolina",735979,null,717788,555250,122759,3611,9505,861,25802,18191,16732,5677,2735,3262,310,2185,728,483,143,558,54,22,100,157,231,87,1345,558,217,24,131,95,10,32,143,40,12,29,6,11,17,9,4,1,2,1,3,96,38,2,16,12,9,1,8,3,0,4,1,0,1,0,1,18,17,0,0,0,1,0,0,0
5001100US3704,North Carolina,4,"Congressional District 4 (111th Congress), North Carolina",826878,null,806787,552832,159528,3701,53772,386,36568,20091,18394,4613,2337,5094,154,2534,1257,573,80,639,125,6,198,145,578,61,1514,836,190,20,76,73,4,52,75,62,5,35,6,22,14,32,6,2,0,1,3,160,89,9,29,11,7,0,9,1,1,1,1,0,2,0,0,21,20,1,0,0,0,0,2,2
