STATENAME,S2405_C05_003E
Washington,2686
Washington,1983
West Virginia,9932
West Virginia,9295
West Virginia,20792
Wisconsin,4041
Wisconsin,7330
Wisconsin,17715
Wisconsin,2113
Wisconsin,2845
Wisconsin,11915
Wisconsin,13990
Wisconsin,10650
Wyoming,33228
