GEO_ID,STATENAME,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
0400000US42,Pennsylvania,13002700,null,12228216,null,9750687,null,1423169,null,31052,null,510501,null,4276,null,508531,null,774484,null,726012,null,136716,null,107274,null,69760,null,3360,null,337578,null,14495,null,6188,null,1025,null,36170,null,858,null,164,null,5426,null,1692,null,3256,null,2050,null,42490,null,15669,null,3153,null,450,null,9963,null,1483,null,225,null,5306,null,1541,null,1891,null,235,null,328,null,92,null,1289,null,195,null,348,null,124,null,22,null,55,null,45,null,76,null,5454,null,1054,null,203,null,3296,null,118,null,316,null,55,null,96,null,119,null,27,null,71,null,26,null,42,null,0,null,26,null,5,null,435,null,195,null,195,null,22,null,15,null,4,null,4,null,93,null,93,null
0400000US44,Rhode Island,1097379,null,995585,null,782920,null,62168,null,7385,null,38961,null,536,null,103615,null,101794,null,93292,null,9960,null,8317,null,7009,null,333,null,44471,null,2169,null,397,null,86,null,18100,null,98,null,32,null,1103,null,181,null,448,null,588,null,7427,null,1773,null,286,null,47,null,3143,null,142,null,39,null,712,null,149,null,243,null,64,null,37,null,12,null,514,null,44,null,109,null,45,null,5,null,25,null,26,null,12,null,994,null,113,null,19,null,711,null,19,null,63,null,14,null,4,null,13,null,9,null,4,null,3,null,7,null,10,null,5,null,0,null,69,null,13,null,36,null,8,null,2,null,10,null,0,null,12,null,12,null
0400000US45,South Carolina,5118425,null,4820049,null,3243442,null,1280531,null,24303,null,90466,null,3431,null,177876,null,298376,null,280801,null,57455,null,62074,null,23180,null,1651,null,112478,null,7924,null,2859,null,554,null,8725,null,300,null,61,null,1688,null,774,null,790,null,288,null,15452,null,6080,null,1385,null,134,null,2280,null,928,null,125,null,2291,null,715,null,622,null,72,null,153,null,27,null,282,null,153,null,84,null,29,null,23,null,22,null,14,null,33,null,1775,null,364,null,70,null,821,null,110,null,101,null,17,null,112,null,57,null,18,null,42,null,21,null,14,null,3,null,18,null,7,null,292,null,125,null,113,null,15,null,19,null,14,null,6,null,56,null,56,null
0400000US46,South Dakota,886667,null,840002,null,715336,null,17842,null,77748,null,13476,null,543,null,15057,null,46665,null,44190,null,5575,null,17783,null,3699,null,385,null,14479,null,940,null,163,null,26,null,323,null,165,null,58,null,332,null,133,null,86,null,43,null,2228,null,839,null,126,null,28,null,186,null,219,null,62,null,415,null,163,null,56,null,30,null,27,null,5,null,32,null,8,null,1,null,8,null,13,null,3,null,4,null,3,null,202,null,21,null,11,null,65,null,17,null,8,null,10,null,29,null,11,null,9,null,4,null,0,null,5,null,0,null,7,null,5,null,44,null,15,null,7,null,4,null,4,null,11,null,3,null,1,null,1,null
0400000US47,Tennessee,6910840,null,6497942,null,4990938,null,1092948,null,28044,null,135615,null,4115,null,246282,null,412898,null,391747,null,71033,null,109625,null,31467,null,2453,null,153279,null,6326,null,2814,null,534,null,8615,null,347,null,104,null,2801,null,926,null,1082,null,341,null,19049,null,6873,null,1565,null,261,null,2599,null,1380,null,210,null,3407,null,1046,null,777,null,132,null,140,null,49,null,250,null,166,null,67,null,32,null,30,null,12,null,6,null,47,null,1832,null,466,null,82,null,770,null,79,null,113,null,12,null,112,null,83,null,16,null,36,null,25,null,6,null,8,null,16,null,8,null,250,null,107,null,108,null,12,null,14,null,5,null,4,null,20,null,20,null
0400000US48,Texas,29145505,null,24011767,null,14609365,null,3552997,null,278948,null,1585480,null,33611,null,3951366,null,5133738,null,4966139,null,213221,null,321387,null,171466,null,11344,null,4040218,null,27070,null,18267,null,3622,null,71643,null,3305,null,609,null,55559,null,10559,null,14549,null,3320,null,151394,null,24321,null,8301,null,1030,null,25806,null,6421,null,883,null,58045,null,5929,null,13645,null,1276,null,753,null,158,null,2157,null,775,null,821,null,201,null,105,null,316,null,106,null,345,null,14376,null,2221,null,292,null,7383,null,511,null,1033,null,110,null,604,null,1316,null,115,null,490,null,101,null,88,null,5,null,73,null,34,null,1661,null,517,null,841,null,111,null,69,null,89,null,34,null,168,null,168,null
0400000US49,Utah,3271616,null,2992603,null,2573413,null,40058,null,41644,null,80438,null,36930,null,220120,null,279013,null,261893,null,17096,null,31850,null,32648,null,12766,null,155296,null,888,null,744,null,651,null,2350,null,373,null,333,null,3090,null,2303,null,1054,null,451,null,15570,null,1520,null,702,null,369,null,1373,null,774,null,378,null,4847,null,3823,null,990,null,321,null,46,null,36,null,80,null,86,null,45,null,9,null,57,null,29,null,8,null,77,null,1368,null,125,null,52,null,533,null,123,null,58,null,6,null,207,null,115,null,35,null,77,null,11,null,7,null,8,null,1,null,10,null,174,null,54,null,63,null,17,null,4,null,31,null,5,null,8,null,8,null
0400000US50,Vermont,643077,null,606051,null,577751,null,9034,null,2289,null,11549,null,181,null,5247,null,37026,null,35154,null,3637,null,13105,null,3882,null,203,null,13541,null,153,null,46,null,13,null,326,null,36,null,12,null,81,null,39,null,72,null,8,null,1656,null,575,null,92,null,27,null,283,null,132,null,21,null,276,null,81,null,79,null,24,null,5,null,7,null,9,null,10,null,9,null,4,null,4,null,3,null,4,null,11,null,169,null,41,null,6,null,72,null,14,null,6,null,1,null,6,null,6,null,4,null,2,null,4,null,2,null,1,null,4,null,0,null,41,null,19,null,13,null,0,null,1,null,6,null,2,null,6,null,6,null
0400000US51,Virginia,8631393,null,7925686,null,5208856,null,1607581,null,40007,null,615436,null,7156,null,446650,null,705707,null,654932,null,111004,null,86898,null,105008,null,4119,null,284308,null,14934,null,10210,null,1255,null,21371,null,978,null,104,null,6852,null,3176,null,4062,null,653,null,44372,null,13505,null,5027,null,507,null,6748,null,2483,null,238,null,7356,null,2708,null,3246,null,186,null,494,null,98,null,633,null,463,null,367,null,71,null,31,null,54,null,41,null,116,null,5685,null,1326,null,157,null,2743,null,291,null,347,null,31,null,230,null,299,null,15,null,144,null,26,null,12,null,9,null,46,null,9,null,680,null,248,null,372,null,25,null,11,null,14,null,10,null,38,null,38,null
0400000US53,Washington,7705281,null,6868622,null,5130920,null,307565,null,121468,null,730596,null,64933,null,513140,null,836659,null,770116,null,82193,null,138919,null,147299,null,15706,null,333489,null,6570,null,8676,null,2243,null,7734,null,2803,null,893,null,6295,null,11689,null,4451,null,1156,null,59396,null,11320,null,6658,null,1223,null,4725,null,6577,null,1179,null,10499,null,10336,null,3781,null,530,null,517,null,154,null,394,null,598,null,237,null,43,null,256,null,120,null,20,null,229,null,6331,null,1422,null,257,null,1715,null,684,null,355,null,63,null,906,null,421,null,45,null,323,null,79,null,24,null,5,null,18,null,14,null,710,null,346,null,209,null,39,null,55,null,48,null,13,null,106,null,106,null
0400000US54,West Virginia,1793716,null,1708772,null,1610749,null,65813,null,3706,null,15109,null,476,null,12919,null,84944,null,80877,null,19578,null,30144,null,5443,null,462,null,22475,null,774,null,262,null,72,null,1128,null,53,null,36,null,127,null,140,null,144,null,39,null,3702,null,1701,null,297,null,67,null,463,null,260,null,44,null,480,null,193,null,89,null,28,null,20,null,4,null,17,null,13,null,7,null,0,null,7,null,2,null,6,null,4,null,303,null,65,null,9,null,109,null,31,null,10,null,4,null,32,null,12,null,3,null,7,null,4,null,9,null,2,null,5,null,1,null,47,null,21,null,25,null,0,null,0,null,0,null,1,null,15,null,15,null
0400000US55,Wisconsin,5893718,null,5534184,null,4737545,null,376256,null,60428,null,175702,null,2199,null,182054,null,359534,null,341196,null,53543,null,64697,null,32014,null,2004,null,172629,null,4343,null,1586,null,199,null,5261,null,467,null,102,null,2178,null,892,null,1011,null,270,null,16568,null,5601,null,1077,null,164,null,2606,null,818,null,133,null,3769,null,963,null,760,null,98,null,106,null,5,null,278,null,55,null,52,null,24,null,3,null,26,null,13,null,17,null,1606,null,348,null,46,null,880,null,55,null,57,null,17,null,43,null,85,null,22,null,29,null,5,null,16,null,1,null,2,null,0,null,151,null,72,null,55,null,8,null,5,null,4,null,7,null,13,null,13,null
0400000US56,Wyoming,576851,null,533378,null,488374,null,5232,null,13898,null,5212,null,579,null,20083,null,43473,null,41250,null,3059,null,11482,null,3108,null,481,null,21954,null,165,null,75,null,26,null,220,null,53,null,33,null,356,null,131,null,91,null,16,null,2024,null,375,null,120,null,35,null,145,null,161,null,43,null,692,null,232,null,117,null,23,null,10,null,2,null,33,null,2,null,12,null,6,null,4,null,11,null,0,null,1,null,163,null,35,null,9,null,32,null,12,null,3,null,13,null,21,null,12,null,9,null,9,null,4,null,3,null,1,null,0,null,0,null,33,null,11,null,14,null,2,null,0,null,4,null,2,null,3,null,3,null
