GEO_ID,STATENAME,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
0400000US22,Louisiana,4657757,null,4384380,null,2657652,null,1464023,null,31657,null,86438,null,1911,null,142699,null,273377,null,255214,null,43631,null,50194,null,17001,null,1278,null,116354,null,7332,null,2323,null,419,null,13305,null,280,null,69,null,1601,null,504,null,660,null,263,null,15833,null,4955,null,985,null,121,null,2995,null,840,null,117,null,3407,null,500,null,819,null,133,null,137,null,40,null,374,null,170,null,128,null,46,null,21,null,13,null,7,null,25,null,2083,null,339,null,46,null,1250,null,64,null,67,null,30,null,58,null,82,null,8,null,27,null,38,null,21,null,1,null,47,null,5,null,214,null,82,null,95,null,3,null,11,null,15,null,8,null,33,null,33,null
0400000US23,Maine,1362359,null,1297649,null,1237041,null,25752,null,7885,null,16798,null,443,null,9730,null,64710,null,61608,null,7612,null,23177,null,7074,null,430,null,21646,null,272,null,163,null,41,null,651,null,86,null,16,null,141,null,153,null,123,null,23,null,2808,null,846,null,194,null,21,null,444,null,221,null,59,null,483,null,250,null,173,null,20,null,17,null,11,null,24,null,5,null,17,null,2,null,7,null,4,null,2,null,8,null,231,null,26,null,13,null,94,null,17,null,13,null,2,null,21,null,22,null,3,null,5,null,7,null,4,null,0,null,3,null,1,null,63,null,34,null,7,null,2,null,3,null,10,null,7,null,0,null,0,null
0400000US24,Maryland,6177224,null,5695323,null,3007874,null,1820472,null,31845,null,420944,null,3247,null,410941,null,481901,null,444556,null,78371,null,48367,null,55237,null,1985,null,194761,null,15874,null,9381,null,1117,null,25559,null,810,null,112,null,8218,null,1403,null,2746,null,615,null,32617,null,11071,null,3651,null,330,null,5388,null,1356,null,111,null,5477,null,1158,null,1944,null,138,null,418,null,96,null,592,null,210,null,444,null,82,null,26,null,67,null,20,null,38,null,4231,null,1067,null,109,null,2187,null,111,null,316,null,35,null,92,null,173,null,29,null,32,null,19,null,33,null,5,null,19,null,4,null,439,null,181,null,200,null,23,null,25,null,1,null,9,null,58,null,58,null
0400000US25,Massachusetts,7029917,null,6421050,null,4896037,null,494029,null,24018,null,507934,null,2301,null,496731,null,608867,null,571923,null,56449,null,41151,null,58164,null,1794,null,310903,null,6011,null,3375,null,648,null,80988,null,633,null,109,null,5177,null,994,null,3405,null,2122,null,32278,null,6372,null,1794,null,160,null,13544,null,908,null,99,null,4085,null,1030,null,1849,null,204,null,185,null,22,null,1155,null,106,null,473,null,147,null,20,null,36,null,22,null,67,null,4310,null,443,null,49,null,3004,null,67,null,348,null,63,null,37,null,103,null,16,null,93,null,10,null,25,null,0,null,48,null,4,null,326,null,136,null,152,null,23,null,10,null,5,null,0,null,30,null,30,null
0400000US26,Michigan,10077331,null,9442016,null,7444974,null,1376579,null,61261,null,334300,null,3051,null,221851,null,635315,null,599811,null,115790,null,145036,null,60656,null,2906,null,240916,null,12023,null,3871,null,566,null,11229,null,735,null,102,null,2792,null,1108,null,1732,null,349,null,32500,null,13348,null,2305,null,308,null,4441,null,1797,null,244,null,5728,null,1403,null,1680,null,148,null,279,null,45,null,383,null,128,null,131,null,32,null,32,null,26,null,2,null,40,null,2609,null,699,null,131,null,1102,null,84,null,133,null,33,null,111,null,120,null,8,null,87,null,35,null,31,null,7,null,24,null,4,null,338,null,156,null,128,null,18,null,18,null,10,null,8,null,57,null,57,null
0400000US27,Minnesota,5706494,null,5360773,null,4423146,null,398434,null,68641,null,299190,null,2918,null,168444,null,345721,null,324275,null,57953,null,65819,null,45265,null,1882,null,133575,null,5029,null,2674,null,313,null,4770,null,790,null,104,null,2660,null,1477,null,1609,null,355,null,19416,null,7897,null,1842,null,232,null,2123,null,1247,null,144,null,3123,null,1153,null,877,null,95,null,126,null,57,null,187,null,65,null,91,null,20,null,38,null,34,null,7,null,58,null,1755,null,441,null,71,null,763,null,70,null,158,null,9,null,103,null,65,null,1,null,24,null,21,null,18,null,5,null,6,null,0,null,244,null,91,null,116,null,13,null,15,null,4,null,5,null,31,null,31,null
0400000US28,Mississippi,2961279,null,2850547,null,1658893,null,1084481,null,16450,null,32709,null,1154,null,56860,null,110732,null,103917,null,25992,null,27934,null,8293,null,603,null,31331,null,3877,null,1149,null,273,null,3095,null,128,null,28,null,571,null,251,null,284,null,108,null,5995,null,2320,null,496,null,63,null,735,null,411,null,58,null,991,null,221,null,246,null,30,null,75,null,21,null,134,null,92,null,60,null,4,null,7,null,8,null,2,null,21,null,676,null,172,null,54,null,253,null,21,null,28,null,4,null,44,null,14,null,5,null,9,null,11,null,16,null,7,null,36,null,2,null,119,null,47,null,38,null,17,null,8,null,0,null,9,null,25,null,25,null
0400000US29,Missouri,6154913,null,5741742,null,4740335,null,699840,null,30518,null,133377,null,9730,null,127942,null,413171,null,390923,null,68493,null,128301,null,34538,null,3424,null,135671,null,7134,null,2313,null,542,null,6030,null,352,null,98,null,1682,null,1180,null,937,null,228,null,20344,null,7562,null,1634,null,313,null,2472,null,1618,null,280,null,3723,null,1129,null,764,null,165,null,154,null,46,null,236,null,101,null,54,null,16,null,23,null,15,null,1,null,38,null,1598,null,434,null,95,null,663,null,75,null,64,null,19,null,99,null,65,null,7,null,33,null,16,null,9,null,5,null,6,null,8,null,281,null,135,null,113,null,6,null,15,null,9,null,3,null,25,null,25,null
0400000US30,Montana,1084225,null,1012950,null,916524,null,5484,null,67612,null,8300,null,941,null,14089,null,71275,null,67557,null,4608,null,29080,null,6430,null,916,null,24502,null,623,null,140,null,30,null,211,null,202,null,96,null,322,null,274,null,101,null,22,null,3410,null,959,null,161,null,41,null,214,null,472,null,112,null,773,null,434,null,121,null,37,null,1,null,6,null,5,null,7,null,4,null,13,null,27,null,11,null,1,null,11,null,256,null,39,null,14,null,83,null,14,null,4,null,4,null,34,null,27,null,5,null,3,null,6,null,5,null,6,null,7,null,5,null,40,null,13,null,17,null,3,null,0,null,4,null,3,null,12,null,12,null
0400000US31,Nebraska,1961504,null,1817341,null,1538052,null,96535,null,23102,null,52951,null,1534,null,105167,null,144163,null,136456,null,19503,null,23079,null,12180,null,826,null,73788,null,1882,null,577,null,126,null,1607,null,167,null,42,null,1695,null,479,null,407,null,98,null,6979,null,2328,null,523,null,81,null,795,null,393,null,52,null,1745,null,462,null,304,null,43,null,49,null,5,null,98,null,41,null,6,null,15,null,5,null,8,null,9,null,17,null,624,null,124,null,25,null,241,null,56,null,33,null,7,null,24,null,70,null,11,null,13,null,2,null,3,null,1,null,10,null,4,null,84,null,34,null,23,null,6,null,8,null,4,null,9,null,20,null,20,null
